Hairstyle,Hair Color Name,Hair Color Hex,Reference Image URL,Prompt,Aspect Ratio,Output Filename
curly-long,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-light-brown.png
curly-long,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-medium-brown.png
curly-long,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-dark-brown.png
curly-long,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-auburn.png
curly-long,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-black.png
curly-long,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-red.png
curly-medium,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-blonde.png
curly-medium,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-strawberry-blonde.png
curly-medium,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-light-brown.png
curly-medium,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-medium-brown.png
curly-medium,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-dark-brown.png
curly-medium,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-auburn.png
curly-medium,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-black.png
curly-medium,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-medium-red.png
curly-short,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-blonde.png
curly-short,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-strawberry-blonde.png
curly-short,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-light-brown.png
curly-short,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-medium-brown.png
curly-short,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-dark-brown.png
curly-short,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-auburn.png
curly-short,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-black.png
curly-short,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-short-red.png
pigtails,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-blonde.png
pigtails,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-strawberry-blonde.png
pigtails,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-light-brown.png
pigtails,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-medium-brown.png
pigtails,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-dark-brown.png
pigtails,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-auburn.png
pigtails,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-black.png
pigtails,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pigtails-red.png
pom-poms,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-blonde.png
pom-poms,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-strawberry-blonde.png
pom-poms,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-light-brown.png
pom-poms,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-medium-brown.png
pom-poms,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-dark-brown.png
pom-poms,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-auburn.png
pom-poms,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-black.png
pom-poms,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,pom-poms-red.png
ponytail,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-blonde.png
ponytail,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-strawberry-blonde.png
ponytail,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-light-brown.png
ponytail,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-medium-brown.png
ponytail,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-dark-brown.png
ponytail,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-auburn.png
ponytail,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-black.png
ponytail,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,ponytail-red.png
side-part,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-blonde.png
side-part,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-strawberry-blonde.png
side-part,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-light-brown.png
side-part,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-medium-brown.png
side-part,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-dark-brown.png
side-part,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-auburn.png
side-part,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-black.png
side-part,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,side-part-red.png
straight-long,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-blonde.png
straight-long,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-strawberry-blonde.png
straight-long,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-light-brown.png
straight-long,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-medium-brown.png
straight-long,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-dark-brown.png
straight-long,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-auburn.png
straight-long,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-black.png
straight-long,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-long-red.png
straight-medium,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-blonde.png
straight-medium,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-strawberry-blonde.png
straight-medium,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-light-brown.png
straight-medium,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-medium-brown.png
straight-medium,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-dark-brown.png
straight-medium,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-auburn.png
straight-medium,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-black.png
straight-medium,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-medium-red.png
straight-short,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-blonde.png
straight-short,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-strawberry-blonde.png
straight-short,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-light-brown.png
straight-short,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-medium-brown.png
straight-short,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-dark-brown.png
straight-short,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-auburn.png
straight-short,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-black.png
straight-short,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,straight-short-red.png

